[2025-10-16T16:52:50.215088] Attempt 1/10: Missing required document fields: ['spiral_review_document', 'weekly_topics_document', 'virtue_and_faith_document', 'vocabulary_key_document', 'chant_chart_document', 'teacher_voice_tips_document']
[2025-10-16T16:53:03.987761] Attempt 2/10: Missing required document fields: ['spiral_review_document', 'weekly_topics_document', 'virtue_and_faith_document', 'vocabulary_key_document', 'chant_chart_document', 'teacher_voice_tips_document']
[2025-10-16T16:53:17.544660] Attempt 3/10: Missing required document fields: ['spiral_review_document', 'weekly_topics_document', 'virtue_and_faith_document', 'vocabulary_key_document', 'chant_chart_document', 'teacher_voice_tips_document']
[2025-10-16T16:53:31.280944] Attempt 4/10: Missing required document fields: ['spiral_review_document', 'weekly_topics_document', 'virtue_and_faith_document', 'vocabulary_key_document', 'chant_chart_document', 'teacher_voice_tips_document']
[2025-10-16T16:53:46.109938] Attempt 5/10: Missing required document fields: ['spiral_review_document', 'weekly_topics_document', 'virtue_and_faith_document', 'vocabulary_key_document', 'chant_chart_document', 'teacher_voice_tips_document']
[2025-10-16T16:54:01.849825] Attempt 6/10: Missing required document fields: ['spiral_review_document', 'weekly_topics_document', 'virtue_and_faith_document', 'vocabulary_key_document', 'chant_chart_document', 'teacher_voice_tips_document']
[2025-10-16T16:54:17.221996] Attempt 7/10: Missing required document fields: ['spiral_review_document', 'weekly_topics_document', 'virtue_and_faith_document', 'vocabulary_key_document', 'chant_chart_document', 'teacher_voice_tips_document']
[2025-10-16T16:54:29.775900] Attempt 8/10: Missing required document fields: ['spiral_review_document', 'weekly_topics_document', 'virtue_and_faith_document', 'vocabulary_key_document', 'chant_chart_document', 'teacher_voice_tips_document']
[2025-10-16T16:54:44.376611] Attempt 9/10: Missing required document fields: ['spiral_review_document', 'weekly_topics_document', 'virtue_and_faith_document', 'vocabulary_key_document', 'chant_chart_document', 'teacher_voice_tips_document']
[2025-10-16T16:54:56.493355] Attempt 10/10: Missing required document fields: ['spiral_review_document', 'weekly_topics_document', 'virtue_and_faith_document', 'vocabulary_key_document', 'chant_chart_document', 'teacher_voice_tips_document']
[2025-10-16T16:54:56.494531] Attempt 10/10: Unexpected error: EOF when reading a line
